52015012810093969ERCE                       260553556M      M01P2YZAGMFL00
52015012810093969ERCE                       263328819M      D01P3TVAGMFS00
52015012810093969ERCE                       181239514M      M03ECJKAGQV800
52015012810093969ERCE                       262976888M      M02E134AFNDW00
52015012810093969ERCE                       261654171M      D02PQ34AGMSL00
52015012810093969ERCE                       262075908M      M01PZAAAGMR500
52015012810093969ERCE                       260553556M      M02P3JKAGMHV00
52015012810093969ERCE                       262075915M      M02P3TVAGMHJ00
52015012810093969ERCE                       261632932M      M01P5AAAGMHX00
52015012810093969ERCE                       261093708D000004M02P5AAAGMHZ00
52015012810093969ERCE                       262976888M      M01ECJKAGQY300
52015012810093969ERCE                       181250748M      D02EC34AGQLX00
52015012810093969ERCE                       262976894M      M02EGTVAGQYY00
52015012810093969ERCE                       263189835M      M01ELPPAGQYX00
52015012810093969ERCE                       181250740S000003D01EZJKAFNG700
52015012810093969ERCE                       181250743D000004D01E8FFAFL5800
52015012810093969ERCE                       263189833M      M01PCAAAHWF900
52015012810093969ERCE                       263184196W000002M03PCAAAHWGP00
52015012810093969ERCE                       263327136H000002D01PJFFAHWGH00
52015012810093969ERCE                       263189835M      M01PQ34AGMSH00
52015012810093969ERCE                       263213067M      M01PRFFAGMSG00
52015012810093969ERCE                       263328756M      D01P4PPAGMK000
52015012810093969ERCE                       181250738M      D01ECTVAGQ2D00
52015012810093969ERCE                       181250737M      D01EDFFAGQ2A00
52015012810093969ERCE                       261652766M      M01EFFFAGQ2A00
52015012810093969ERCE                       261788238M      D01ELPPAGQ1900
52015012810093969ERCE                       181250746D000003D01E0FFAFNKY00
52015012810093969ERCE                       181250738M      D01PBPPAHWKG00
52015012810093969ERCE                       181250739S000004D01PDFFAHWJ600
52015012810093969ERCE                       263328758M      D02PFFFAHWJN00
52015012810093969ERCE                       263199078S000004D01EATVAGQSR00
52015012810093969ERCE                       181250731H000002D03EATVAGQRB00
52015012810093969ERCE                       260553563M      M01ECAAAGQQ900
52015012810093969ERCE                       181250740M      D02ECJKAGQRD00
52015012810093969ERCE                       261938956M      M02EKJKAGQRD00
52015012810093969ERCE                       261938956M      M05EKJKAGQRD00
52015012810093969ERCE                       261736059M      M01EMTVAGQRF00
52015012810093969ERCE                       261736059M      M04EMTVAGQRF00
52015012810093969ERCE                       261190702M      M02EMTVAGQRG00
52015012810093969ERCE                       261190702M      M05EMTVAGQRG00
52015012810093969ERCE                       261652766M      M01EPAAAFNA100
52015012810093969ERCE                       260553575M      M02EYFFAFNAP00
52015012810093969ERCE                       260553575M      M05EYFFAFNAP00
52015012810093969ERCE                       262298334M      M01E2FFAFNAR00
52015012810093969ERCE                       262140646M      M01E5JKAFNAQ00
52015012810093969ERCE                       181250733M      D02PC34AHV9800
52015012810093969ERCE                       263327184M      D01PFFFAHV9P00
52015012810093969ERCE                       261652766M      M01PG34AHV9Y00
52015012810093969ERCE                       263199084H000002D02PC34AHWDQ00
52015012810093969ERCE                       261594113M      D02PHPPAHWDD00
52015012810093969ERCE                       263212639M      M03PHYZAHWDM00
52015012810093969ERCE                       263212639M      M06PHYZAHWDM00
52015012810093969ERCE                       263212639M      M09PHYZAHWDM00
52015012810093969ERCE                       263212639M      M12PHYZAHWDM00
52015012810093969ERCE                       263212639M      M15PHYZAHWDM00
52015012810093969ERCE                       263212639M      M18PHYZAHWDM00
52015012810093969ERCE                       262634496D000002M01PR56AGMQC00
52015012810093969ERCE                       181250741S000005D01PZ34AGMPF00
52015012810093969ERCE                       181250741S000005D02PZ34AGMPQ00
52015012810093969ERCE                       263327131M      D01P4YZAGMFP00
52015012810093969ERCE                       261705814M      M01P5TVAGMD400
52015012810093969ERCE                       263328819M      D01PAAAAHWLS00
52015012810093969ERCE                       261029713M      D01PHYZAHWDF00
52015012810093969ERCE                       181250731H000002D01PT34AGMPZ00
52015012810093969ERCE                       181250731H000002D01ECAAAGQV300
52015012810093969ERCE                       181239514M      M02ECJKAGQV800
52015012810093969ERCE                       181250731H000002D01EC34AGQV500
52015012810093969ERCE                       262976888M      M01E134AFNDW00
52015012810093969ERCE                       261654171M      D01PQ34AGMSL00
52015012810093969ERCE                       261654171M      D04PQ34AGMSL00
52015012810093969ERCE                       263328757S000006D01P0PPAGMH500
52015012810093969ERCE                       262075915M      M01P134AGMHP00
52015012810093969ERCE                       181250736M      D01P2FFAGMHX00
52015012810093969ERCE                       260553556M      M01P3JKAGMHV00
52015012810093969ERCE                       262075915M      M01P3TVAGMHJ00
52015012810093969ERCE                       261093708D000004M01P5AAAGMHZ00
52015012810093969ERCE                       181250748M      D01EC34AGQLX00
52015012810093969ERCE                       262976894M      M01EGTVAGQYY00
52015012810093969ERCE                       263213067M      M02EPPPAFNG900
52015012810093969ERCE                       181250747S000002D01EZJKAFNG500
52015012810093969ERCE                       263184196W000002M02PCAAAHWGP00
52015012810093969ERCE                       263327129W000002D01PQ34AGMR301
52015012810093969ERCE                       181250747M      D02PRFFAGMJW00
52015012810093969ERCE                       261788238M      D01EATVAGQ2C00
52015012810093969ERCE                       181239514M      M01EBYZAGQ2B00
52015012810093969ERCE                       181250738M      D03ECTVAGQ2D00
52015012810093969ERCE                       181250737M      D03EDFFAGQ2A00
52015012810093969ERCE                       262976893M      M02EHFFAGQ1900
52015012810093969ERCE                       181250740S000004D01ELPPAGQ1700
52015012810093969ERCE                       263328789M      D02E8YZAFL8X00
52015012810093969ERCE                       260553539M      M01PATVAHWKP00
52015012810093969ERCE                       181250738M      D03PBPPAHWKG00
52015012810093969ERCE                       263328758M      D01PFFFAHWJN00
52015012810093969ERCE                       263327131M      D01P4YZAGMFP00
52015012810093969ERCE                       181250731H000002D02EATVAGQRB00
52015012810093969ERCE                       260553556M      M01EBYZAGQRA00
52015012810093969ERCE                       181250740M      D01ECJKAGQRD00
52015012810093969ERCE                       261938956M      M01EKJKAGQRD00
52015012810093969ERCE                       261938956M      M04EKJKAGQRD00
52015012810093969ERCE                       261736059M      M03EMTVAGQRF00
52015012810093969ERCE                       261190702M      M01EMTVAGQRG00
52015012810093969ERCE                       261190702M      M04EMTVAGQRG00
52015012810093969ERCE                       260553575M      M01EYFFAFNAP00
52015012810093969ERCE                       260553575M      M04EYFFAFNAP00
52015012810093969ERCE                       262298334M      M01E1TVAFNAQ00
52015012810093969ERCE                       260553556M      M01E5AAAFNAP00
52015012810093969ERCE                       261833326M      M01E8YZAFL0300
52015012810093969ERCE                       181250733M      D01PC34AHV9800
52015012810093969ERCE                       181250741W000002D01PG34AHV9T00
52015012810093969ERCE                       263327131M      D01PBPPAHWDR00
52015012810093969ERCE                       263199084H000002D01PC34AHWDQ00
52015012810093969ERCE                       263327131M      D01PFFFAHWDL00
52015012810093969ERCE                       263199084H000002D02PFYZAHWDJ00
52015012810093969ERCE                       261594113M      D01PHPPAHWDD00
52015012810093969ERCE                       181289784M      M01PVTVAGMQH00
52015012810093969ERCE                       261093708D000004M03PV34AGMQH00
